"","xgbTree","BstLm","bstTree","cubist","gamSpline","glmnet","lars","glmboost","gbm","bayesglm"
"xgbTree",1,-0.284516390250689,0.364307019316905,-0.768461637673522,-0.605071967627403,-0.0819620052211514,-0.803996774495191,-0.108338360959803,0.848990419887418,-0.291880563891072
"BstLm",-0.284516390250689,1,-0.116157441534909,-0.15894634923387,-0.583742825627693,0.808646575800722,0.790012259511473,0.417256030276715,-0.705728788749206,-0.1183527042404
"bstTree",0.364307019316905,-0.116157441534909,1,0.194797687355681,-0.312926547688908,-0.569130353331499,-0.39743527752178,0.801466064915411,0.118564381267002,-0.972482966879818
"cubist",-0.768461637673522,-0.15894634923387,0.194797687355681,1,0.719865148593147,-0.545936692028845,0.334771906201674,0.382777698065165,-0.568429314083002,-0.163537202846203
"gamSpline",-0.605071967627403,-0.583742825627693,-0.312926547688908,0.719865148593147,1,-0.533664374274049,0.0363374395465706,-0.352579207347627,-0.108570174004952,0.445244542504339
"glmnet",-0.0819620052211514,0.808646575800722,-0.569130353331499,-0.545936692028845,-0.533664374274049,1,0.604561863100711,-0.176748401528745,-0.34610610881538,0.381498405970302
"lars",-0.803996774495191,0.790012259511473,-0.39743527752178,0.334771906201674,0.0363374395465706,0.604561863100711,1,0.228538105981483,-0.944038437118116,0.208772994423122
"glmboost",-0.108338360959803,0.417256030276715,0.801466064915411,0.382777698065165,-0.352579207347627,-0.176748401528745,0.228538105981483,1,-0.479442031877264,-0.900988664764811
"gbm",0.848990419887418,-0.705728788749206,0.118564381267002,-0.568429314083002,-0.108570174004952,-0.34610610881538,-0.944038437118116,-0.479442031877264,1,0.0513638038679741
"bayesglm",-0.291880563891072,-0.1183527042404,-0.972482966879818,-0.163537202846203,0.445244542504339,0.381498405970302,0.208772994423122,-0.900988664764811,0.0513638038679741,1
