"","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01"
"060010007",20.1666666666667,34.6071428571429,36.9677419354839,40.9333333333333,44.3225806451613,41.1034482758621,40.4333333333333,36.9354838709677,52.7,37.4333333333333,26.1,23.1
"060010009",16.7741935483871,28.4642857142857,31.741935483871,35.9,36.3548387096774,28.4827586206897,22.0967741935484,22.4193548387097,29.6,26.2758620689655,21.4666666666667,15.5666666666667
"060010011",15.7,30.1428571428571,32.3548387096774,34.9666666666667,34.741935483871,25.5666666666667,20.3225806451613,20.3225806451613,25.5333333333333,24.1290322580645,21.2758620689655,15.1333333333333
"060012001",NA,NA,NA,41.9333333333333,43.2903225806452,34.5333333333333,29.1290322580645,27.8709677419355,40.7,36.1290322580645,29.8571428571429,NA
"060050002",20.4193548387097,35.7142857142857,39.7741935483871,42.6666666666667,49.3666666666667,51.3,53.3225806451613,56.3870967741936,59.6666666666667,35.5483870967742,25.1724137931034,22.1666666666667
"060070002",15.5161290322581,33.25,37.0967741935484,43.0666666666667,44.8064516129032,44.7333333333333,46,53.5483870967742,49.0333333333333,30.3870967741935,22.4285714285714,21.6
"060070007",30.5483870967742,42.7857142857143,43.6129032258064,47.9642857142857,50.5161290322581,53.3666666666667,55.2258064516129,64.2258064516129,59.5666666666667,42.3548387096774,35.0344827586207,36.6
"060090001",20.5806451612903,36.6,40.258064516129,43.4333333333333,50.3225806451613,53.8275862068966,56.3225806451613,59.5483870967742,63.0333333333333,41.6774193548387,32.3666666666667,31.5666666666667
"060111002",21.4193548387097,36.5,37.9354838709677,43.3333333333333,46.1612903225806,45.6896551724138,39.9677419354839,51.2258064516129,48,33.6774193548387,22.36,23.8333333333333
"060130002",16.9032258064516,31.1851851851852,34.1935483870968,37.6666666666667,36.7931034482759,34.7666666666667,34.3548387096774,36.1,49.9666666666667,36.9677419354839,25.4827586206897,23.6333333333333
"060131002",13,26.2857142857143,29.6129032258065,37.3666666666667,44.3333333333333,43.6666666666667,42.5806451612903,41.6129032258064,52.4666666666667,38.6774193548387,27.4333333333333,24.6666666666667
"060131004",21.6206896551724,35.5925925925926,38.3225806451613,41.2333333333333,40.5483870967742,30.0769230769231,23.3,24.0322580645161,32.2,30.6129032258065,25.8333333333333,22.6666666666667
"060170010",29.6129032258065,37.3333333333333,40,38.4333333333333,47.7741935483871,51.2666666666667,54.3870967741936,62.741935483871,63.7666666666667,44.8064516129032,39.551724137931,38.3793103448276
"060170012",NA,NA,NA,NA,54.2333333333333,54.5714285714286,46.5483870967742,49.8666666666667,50.3666666666667,38.4,NA,NA
"060170020",NA,NA,NA,NA,53.258064516129,56.1666666666667,59.7741935483871,69.6774193548387,66.9666666666667,42.9655172413793,NA,NA
"060190007",15.9354838709677,36.6071428571429,43,50.4074074074074,60.2666666666667,63.4333333333333,69.8064516129032,68.1612903225806,79.1,55.5555555555556,32.2727272727273,NA
"060190008",14.4193548387097,33.75,40.1,47.1,54.6296296296296,58.0689655172414,64.6129032258064,66.7096774193548,74.0333333333333,50.258064516129,26.1333333333333,21.695652173913
"060190242",16.5357142857143,39.0714285714286,45.9333333333333,51.2413793103448,60.8064516129032,61.8,67.3870967741936,67.258064516129,76.4666666666667,54.9,34.0833333333333,29.25
"060192009",24.8064516129032,38.7857142857143,42.5483870967742,47.8,53.9354838709677,55.8666666666667,59.0344827586207,58.8387096774194,63.7333333333333,51.9310344827586,30.3703703703704,30.2592592592593
"060194001",18.1724137931034,38.2727272727273,43.8064516129032,48.6896551724138,58.2142857142857,63.3571428571429,68.4666666666667,68.6129032258064,75.2413793103448,52.4814814814815,33.5,29.25
"060195001",16.8709677419355,37.9230769230769,44.4,50.0689655172414,58.2258064516129,60.5862068965517,69.7,71.5172413793103,79.1379310344828,55.7037037037037,34.3333333333333,25.75
