"start_year","end_year","ssp1","ssp2","ssp3","ssp4","ssp5"
2010,2020,2877699,2877170,2877436,2876911,2876650
2020,2030,3169307,3160426,3105244,3142988,3216598
2030,2040,3471794,3448107,3252858,3387293,3641811
2040,2050,3762235,3712460,3335003,3591984,4093207
2050,2060,4028702,3949324,3352219,3745526,4579460
2060,2070,4281993,4180379,3324451,3866867,5117098
2070,2080,4515617,4390968,3258023,3949229,5671930
2080,2090,4701109,4552120,3140458,3966560,6211301
2090,2100,4794930,4657537,2975895,3910862,6691206
2100,2110,4788999,4714819,2780968,3798246,7084180
